Year,CountryRaw_x,FAO_Value,Country,FAO_Global,FAOSharePct,CountryRaw_y,TradeValueUSD,TradeGlobalUSD,TradeSharePct
2020,Afghanistan,82430.0,Afghanistan,94014752.08,0.08767772948000524,,0.0,,0.0
2020,Albania,28591.95,Albania,94014752.08,0.030412195285767753,Albania,751232.684,5046552215.945,0.014886057883765041
2020,Algeria,115124.81,Algeria,94014752.08,0.12245398456407865,,0.0,,0.0
2020,,0.0,Andorra,,0.0,Andorra,3821433.7939999998,5046552215.945,0.07572365509120986
2020,Angola,344762.0,Angola,94014752.08,0.36671053464740466,Angola,1305335.803,5046552215.945,0.025865893131466738
2020,,0.0,Antigua and Barbuda,,0.0,Antigua and Barbuda,407218.39900000003,5046552215.945,0.008069239781436519
2020,Argentina,1058137.2,Argentina,94014752.08,1.125501239528451,Argentina,26132986.03,5046552215.945,0.5178384154518537
2020,Armenia,4225.4,Armenia,94014752.08,0.004494401045066288,Armenia,200693.99000000002,5046552215.945,0.003976853531127465
2020,,0.0,Aruba,,0.0,Aruba,1457373.697,5046552215.945,0.028878601362635405
2020,Australia,3303330.07,Australia,94014752.08,3.5136295069832193,Australia,78790920.71000001,5046552215.945,1.5612821851135033
2020,Austria,42800.0,Austria,94014752.08,0.04552477037176058,Austria,22715450.689000003,5046552215.945,0.45011821372279975
2020,Azerbaijan,21498.6,Azerbaijan,94014752.08,0.022867262343792803,Azerbaijan,884333.72,5046552215.945,0.017523522638007674
2020,Bahamas,179.53,Bahamas,94014752.08,0.00019095939310378917,Bahamas,313196.0,5046552215.945,0.006206138103761838
2020,Bahrain,10.0,Bahrain,94014752.08,1.0636628591532846e-05,Bahrain,1156498.31,5046552215.945,0.022916602474575568
2020,Bangladesh,468658.0,Bangladesh,94014752.08,0.49849410824506,,0.0,,0.0
2020,Barbados,1723.72,Barbados,94014752.08,0.0018334569435796996,Barbados,449179.5,5046552215.945,0.008900720348850848
2020,Belarus,365966.0,Belarus,94014752.08,0.38926444191289095,Belarus,1550200.0,5046552215.945,0.03071800178945964
2020,Belgium,25210.0,Belgium,94014752.08,0.0268149406792543,Belgium,84633267.06400001,5046552215.945,1.6770512508836073
2020,Belize,10001.0,Belize,94014752.08,0.010637692254391998,Belize,62560.735,5046552215.945,0.0012396727968519612
2020,Benin,151267.0,Benin,94014752.08,0.1608970897155399,Benin,11621.746,5046552215.945,0.00023029081049196577
2020,,0.0,Bermuda,,0.0,Bermuda,563655.99,5046552215.945,0.011169130247361402
2020,Bhutan,3915.56,Bhutan,94014752.08,0.004164835744786235,Bhutan,1383001.69,5046552215.945,0.02740488220116482
2020,Bolivia (Plurinational State of),121932.24,Bolivia,94014752.08,0.1296947950213645,Bolivia (Plurinational State of),6892290.2700000005,5046552215.945,0.13657423870941507
2020,Bosnia and Herzegovina,23253.63,Bosnia and Herzegovina,94014752.08,0.02473402257149259,Bosnia Herzegovina,1589793.19,5046552215.945,0.031502560995542994
2020,Botswana,20702.96,Botswana,94014752.08,0.022020969626536085,Botswana,1044812.902,5046552215.945,0.02070349928608342
2020,Brazil,3055978.0,Brazil,94014752.08,3.250530296989536,Brazil,69093500.0,5046552215.945,1.3691228593988063
2020,,0.0,Brunei Darussalam,,0.0,Brunei Darussalam,390503.62,5046552215.945,0.007738027930557648
2020,Bulgaria,42560.0,Bulgaria,94014752.08,0.04526949128556379,Bulgaria,18090273.674000002,5046552215.945,0.35846797773819294
2020,Burkina Faso,796675.57,Burkina Faso,94014752.08,0.8473942146037726,Burkina Faso,1450004.04,5046552215.945,0.02873256785927216
2020,Burundi,470980.64,Burundi,94014752.08,0.5009646141482438,Burundi,18642.364999999998,5046552215.945,0.0003694079482839373
2020,Cabo Verde,5557.49,Cabo Verde,94014752.08,0.005911295703115787,Cabo Verde,155805.921,5046552215.945,0.003087373603461751
2020,Cambodia,83410.17,Cambodia,94014752.08,0.08872029990466151,Cambodia,705179.9,5046552215.945,0.013973498535731498
2020,Cameroon,611716.01,Cameroon,94014752.08,0.6506596001864392,Cameroon,83804.05,5046552215.945,0.0016606198928292898
2020,Canada,8166000.0,Canada,94014752.08,8.685870907845722,Canada,239779371.255,5046552215.945,4.751350248539929
